model,tier,policy,workload,accelerator,mean_ttft_ms,mean_tpot_ms,mean_latency_ms,p99_ttft_ms,p99_tpot_ms,num_requests,generated_tokens_total,mean_stall_ms_per_request,shadow_hit_rate,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evicpress_compression_events,evicpress_compressed_bytes_saved,evicpress_ratio_sum,harp_prefetch_bytes_total,harp_prefetch_bytes_progress,harp_prefetch_overlap_bytes,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens_total,harp_shadow_ratio_sum,harp_shadow_ratio_events,tier_transition_bytes_total,tier_transition_mb_total,evicpress_avg_ratio,stall_overlap_ratio,harp_avg_shadow_ratio,transition_mb_per_generated_token,eviction_events_total
llama8b,cpu_dram,evicpress,fixed_256,A6000,120530.93430852343,62.18825725,152309.13402535938,241409.3785914,143.45305804999998,256.0,131072.0,0.0,0.0,36538679296.0,0.0,36538679296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73077358592.0,69692.0,1.0,0.0,1.0,0.531707763671875,640.0
llama8b,cpu_dram,evicpress,sharegpt_300,A6000,89962.26382245333,104.817841,112923.71090870333,194339.612064,483.32724337999986,300.0,83334.0,0.0,0.0,3605004288.0,0.0,3605004288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7210008576.0,6876.0,1.0,0.0,1.0,0.08251133990928072,337.0
llama8b,cpu_dram,fifo,fixed_256,A6000,683464.1668407149,530.3891888124999,954493.0425844531,1528609.2260525997,714.3222360999999,256.0,131072.0,0.0,0.0,25432162304.0,0.0,25432162304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50864324608.0,48508.0,1.0,0.0,1.0,0.370086669921875,510.0
llama8b,cpu_dram,fifo,sharegpt_300,A6000,197893.33159754,204.66622689666667,244287.93945492664,426138.60537999996,1041.42142524,300.0,83334.0,0.0,0.0,14011072512.0,0.0,14011072512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28022145024.0,26724.0,1.0,0.0,1.0,0.32068543451652387,216.0
llama8b,cpu_dram,harp,fixed_256,A6000,80875.79876561328,60.97932805078125,112036.23566574218,171608.59463714997,95.47759439999997,256.0,131072.0,0.0,0.029713490704500977,8434745344.0,0.0,8434745344.0,0.0,0.0,0.0,0.0,8434745344.0,8434745344.0,8434745344.0,0.0,0.0,3887.0,130816.0,243.0,243.0,16869490688.0,16088.0,1.0,1.0,1.0,0.12274169921875,243.0
llama8b,cpu_dram,harp,sharegpt_300,A6000,34507.395641523326,43.60145255333333,45599.24543443,69988.312698,88.69491412999999,300.0,83334.0,0.0,0.013139195992003276,6914310144.0,0.0,6914310144.0,0.0,0.0,0.0,0.0,6914310144.0,6914310144.0,6914310144.0,0.0,0.0,1091.0,83034.0,71.0,71.0,13828620288.0,13188.0,1.0,1.0,1.0,0.1582547339621283,71.0
llama8b,cpu_dram,largest_kv,fixed_256,A6000,557926.0807774687,345.74694491796873,734602.7698862851,1198009.40911675,603.63818235,256.0,131072.0,0.0,0.0,28252831744.0,0.0,28252831744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56505663488.0,53888.0,1.0,0.0,1.0,0.4111328125,492.0
llama8b,cpu_dram,largest_kv,sharegpt_300,A6000,70447.95199567334,74.27931273666667,86370.86232994332,146906.73820460998,247.98036196999996,300.0,83334.0,0.0,0.0,16886267904.0,0.0,16886267904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33772535808.0,32208.0,1.0,0.0,1.0,0.38649290805673553,95.0
llama8b,cpu_dram,lru,fixed_256,A6000,95111.87557078125,60.633638999999995,126095.66534074218,213187.97026354994,92.46365984999997,256.0,131072.0,0.0,0.0,7537164288.0,0.0,7537164288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15074328576.0,14376.0,1.0,0.0,1.0,0.10968017578125,299.0
llama8b,cpu_dram,lru,sharegpt_300,A6000,69208.36713048,70.09040637333334,85811.52198653333,145319.26257599998,272.34343459999985,300.0,83334.0,0.0,0.0,6721372160.0,0.0,6721372160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13442744320.0,12820.0,1.0,0.0,1.0,0.1538387692898457,165.0
